youtube_id,label,path
ASMBCSQakUg,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\ASMBCSQakUg_000042_000052.mp4
uI2ANreTjsY,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\uI2ANreTjsY_000245_000255.mp4
yTWTgkRBGhM,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\yTWTgkRBGhM_000043_000053.mp4
YkBH--lw1ww,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\YkBH--lw1ww_000012_000022.mp4
qsZ5OlG9GwA,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\qsZ5OlG9GwA_000239_000249.mp4
Csj1UUFQ30I,flipping pancake,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Csj1UUFQ30I_000002_000012.mp4
bUPLq6grnjM,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\bUPLq6grnjM_000002_000012.mp4
hhtLeprzZ3w,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\hhtLeprzZ3w_000076_000086.mp4
ozUoLCvr4-w,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\ozUoLCvr4-w_000001_000011.mp4
8psqhKdY0VU,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8psqhKdY0VU_000022_000032.mp4
SX7xEsx7KPA,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\SX7xEsx7KPA_000298_000308.mp4
zEQfwUvHdLI,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\zEQfwUvHdLI_000000_000010.mp4
H9yPB3rWiFE,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\H9yPB3rWiFE_000005_000015.mp4
LXFY4GoTlQI,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\LXFY4GoTlQI_000021_000031.mp4
4YK9k1RSCzY,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\4YK9k1RSCzY_000015_000025.mp4
DfbmfYSk1QA,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\DfbmfYSk1QA_000011_000021.mp4
F6ZWneKIJAM,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\F6ZWneKIJAM_000002_000012.mp4
vXppH8bPvTQ,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\vXppH8bPvTQ_001157_001167.mp4
-Jr4hagX4fY,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-Jr4hagX4fY_000783_000793.mp4
rn3XUfC5WCY,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\rn3XUfC5WCY_000387_000397.mp4
Wg86ercBjY0,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Wg86ercBjY0_000002_000012.mp4
TYmdsdukKgE,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\TYmdsdukKgE_000007_000017.mp4
2rlWNAR4i20,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\2rlWNAR4i20_000169_000179.mp4
XWsoFOD75xM,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\XWsoFOD75xM_000175_000185.mp4
GF2sebyC-F0,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\GF2sebyC-F0_000402_000412.mp4
cTEhz26JRyU,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\cTEhz26JRyU_000001_000011.mp4
rYy79y1IIPg,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\rYy79y1IIPg_000166_000176.mp4
nNLSyQKs4Zg,wrapping present,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\nNLSyQKs4Zg_000005_000015.mp4
jWw5Tg0OK5E,wrapping present,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\jWw5Tg0OK5E_000054_000064.mp4
mMElJrrA77Q,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\mMElJrrA77Q_000081_000091.mp4
O12JRDM2bEc,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\O12JRDM2bEc_000129_000139.mp4
BvBvdawr6RU,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\BvBvdawr6RU_000012_000022.mp4
-X7ufJ7wRGQ,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-X7ufJ7wRGQ_000000_000010.mp4
oQ1zAKxDqGk,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\oQ1zAKxDqGk_000169_000179.mp4
8p8uZMoFe1c,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8p8uZMoFe1c_000003_000013.mp4
XJNlj1sv9z0,fixing hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\XJNlj1sv9z0_000134_000144.mp4
rENDZkg0cJI,fixing hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\rENDZkg0cJI_000002_000012.mp4
7SkFpZRR-LQ,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\7SkFpZRR-LQ_000223_000233.mp4
cQLlHPM6H4Y,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\cQLlHPM6H4Y_000058_000068.mp4
O4IKUAEYEfQ,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\O4IKUAEYEfQ_000009_000019.mp4
tAGhDV5JScY,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\tAGhDV5JScY_000017_000027.mp4
Orf4wPHIBCA,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Orf4wPHIBCA_000216_000226.mp4
Ww0a2IB7SpI,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Ww0a2IB7SpI_000007_000017.mp4
DaGVOZQCX6k,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\DaGVOZQCX6k_000170_000180.mp4
Ig6WjHtjeIA,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Ig6WjHtjeIA_000010_000020.mp4
a2gt6vtJ14E,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\a2gt6vtJ14E_000024_000034.mp4
AcS7wXAS9zQ,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\AcS7wXAS9zQ_000054_000064.mp4
XEA4CJrqu-w,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\XEA4CJrqu-w_000159_000169.mp4
FRLLgY9MbF8,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\FRLLgY9MbF8_000034_000044.mp4
VKMvIUqO580,playing kickball,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\VKMvIUqO580_000009_000019.mp4
xfju0Yk6PH4,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\xfju0Yk6PH4_000024_000034.mp4
UxHvdzISRWg,playing kickball,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\UxHvdzISRWg_000641_000651.mp4
4nv7tKcW1JM,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\4nv7tKcW1JM_000000_000010.mp4
HwepbD7U3CA,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\HwepbD7U3CA_000091_000101.mp4
-Zedueym2Fo,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-Zedueym2Fo_000042_000052.mp4
8yIwgbv5iec,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8yIwgbv5iec_000000_000010.mp4
mi3mHq4WyR0,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\mi3mHq4WyR0_000533_000543.mp4
quNyWAt9HGg,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\quNyWAt9HGg_000236_000246.mp4
EGpb7r1ErN4,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\EGpb7r1ErN4_000145_000155.mp4
VsugvLZlf20,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\VsugvLZlf20_000003_000013.mp4
Ia5ZTVQnsBw,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Ia5ZTVQnsBw_000158_000168.mp4
SDQsfIkAA9c,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\SDQsfIkAA9c_000224_000234.mp4
3KhWcsYCEE8,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\3KhWcsYCEE8_000396_000406.mp4
aWwHDU-jrJY,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\aWwHDU-jrJY_000000_000010.mp4
9a3yWKJdpxM,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\9a3yWKJdpxM_000024_000034.mp4
qIUSDYPbl9o,flipping pancake,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\qIUSDYPbl9o_000040_000050.mp4
E6mI7BfxtF0,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\E6mI7BfxtF0_000107_000117.mp4
xuiijkGiPXo,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\xuiijkGiPXo_000014_000024.mp4
BaOyL9LIXjA,fixing hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\BaOyL9LIXjA_000113_000123.mp4
dtzrH09760g,playing kickball,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\dtzrH09760g_000004_000014.mp4
CfXqIh8betw,flipping pancake,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\CfXqIh8betw_000031_000041.mp4
MZ1HvEKgEaw,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\MZ1HvEKgEaw_000210_000220.mp4
nXhDnUlM6O0,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\nXhDnUlM6O0_000023_000033.mp4
2K-dquqiFz4,ripping paper,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\2K-dquqiFz4_000003_000013.mp4
p8VRb8KenNM,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\p8VRb8KenNM_000000_000010.mp4
TZBulH3hq1A,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\TZBulH3hq1A_000015_000025.mp4
Bu8tDL1uE9A,flipping pancake,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Bu8tDL1uE9A_000000_000010.mp4
E1NPGDEe9Kk,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\E1NPGDEe9Kk_000102_000112.mp4
RCMZ5nbeegc,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\RCMZ5nbeegc_000188_000198.mp4
Cz0eEy0o8WI,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Cz0eEy0o8WI_000151_000161.mp4
sC3j5wmLDT4,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\sC3j5wmLDT4_000202_000212.mp4
DRlrNjkxE3c,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\DRlrNjkxE3c_000004_000014.mp4
HO1xuuozDPM,ripping paper,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\HO1xuuozDPM_000004_000014.mp4
47tkLH5-ASE,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\47tkLH5-ASE_000571_000581.mp4
-XBWNbyfIDs,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-XBWNbyfIDs_000002_000012.mp4
80iK0FthFpU,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\80iK0FthFpU_000030_000040.mp4
5dapprOc3YE,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\5dapprOc3YE_000002_000012.mp4
uh9JvQzGpfY,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\uh9JvQzGpfY_000022_000032.mp4
sZ3htiLBlkk,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\sZ3htiLBlkk_000002_000012.mp4
09yxWl2Ek1M,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\09yxWl2Ek1M_000158_000168.mp4
UxVnOPYmwXs,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\UxVnOPYmwXs_000169_000179.mp4
Cyob7dfiEw4,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Cyob7dfiEw4_000022_000032.mp4
KXhidQInra8,ripping paper,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\KXhidQInra8_000000_000010.mp4
9O91m-hixj8,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\9O91m-hixj8_000000_000010.mp4
8L-G92dnLsM,ripping paper,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8L-G92dnLsM_000094_000104.mp4
pSMo30HYK88,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\pSMo30HYK88_000031_000041.mp4
-i7p94TDe84,texting,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-i7p94TDe84_000052_000062.mp4
WE9gG4t0nVQ,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\WE9gG4t0nVQ_000020_000030.mp4
A-U6b6a6va0,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\A-U6b6a6va0_000218_000228.mp4
rWipVSHylow,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\rWipVSHylow_000514_000524.mp4
DmzbK3jmlIA,texting,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\DmzbK3jmlIA_000070_000080.mp4
-LHHfaxzj7I,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-LHHfaxzj7I_000000_000010.mp4
bcfFNLvAoYU,fixing hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\bcfFNLvAoYU_000012_000022.mp4
ptJRLImpEBY,texting,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\ptJRLImpEBY_000083_000093.mp4
vdpuK0cFNWQ,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\vdpuK0cFNWQ_000083_000093.mp4
cK6IDGc91Mk,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\cK6IDGc91Mk_000170_000180.mp4
Ar15nlMXDxo,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\Ar15nlMXDxo_000037_000047.mp4
y9Mnv6Oy29Y,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\y9Mnv6Oy29Y_000043_000053.mp4
